ID;SEZIONE;NOME IDROMETRO;NOME_BACIN;DATI_DA;NOME_DOMIN;COMUNE;PROV;REGIONE;BACINO;LON;LAT;AREA;CORR_TIME;CN;THR1;THR2;THR3;ALERTZONE;Q_ALLARME;Q_ARANCIONE;Q_ALLERTA;Fonte Q_soglia;StimaQoss;QUAL1_5;CALIBRATO;Err_Rel_Qp;NashSut;FonteSdD
-9999;Ripetta;Tevere a Ripetta;Tevere;Tevere, Ripetta;TevereBasin;Roma;RM;Lazio;37;12.475;41.9083;16545;35.0;-9999;700;1100;1300;-9999;340;1309;1879;CF;Scala di deflusso;3;si;0.065;0.54;CF Regione Lazio, 2018
65;Rivergaro;Rivergaro;Trebbia;Trebbia, Rivergaro;PoBasin;Rivergaro;PC;Emilia Romagna;30;9.58177;44.90029;900;8.4;67;290;400;480;43;195;277;337;CF;Scala di deflusso;3;no;-0.43;0.57;ARPA Emilia Romagna, 2008
-9999;Rizziconi PonteVecchio;-;Petrace;Petrace, Rizziconi PonteVecchio;CalabriaDomain;-;RC;CALABRIA;-9999;15.9128;38.3775;340;5.2;-9999;-9999;-9999;-9999;11;481;651;756;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Roaschia;-;Gesso;Gesso, Roaschia;PoBasin;-;-;-;-9999;7.43523;44.29107;335.11;5.2;-9999;-9999;-9999;-9999;-9999;129;200;252;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rocca Sinibalda;Turano a Rocca Sinibalda;Turano;Turano, Rocca Sinibalda;TevereBasin;-;-;Lazio;-9999;12.9175;42.2839;470;6.1;-9999;140;170;200;-9999;26;30;36;CF;Scala di deflusso;-9999;no;-9999;-9999;CF Regione Lazio, 2020
400;Rosarno;Rosarno;Mesima;Mesima, Rosarno;CalabriaDomain;ROSARNO;RC;CALABRIA;-9999;15.9836;38.4997;770;7.7;-9999;-9999;-9999;-9999;11;439;595;690;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rosignano Solvay;-;Fine;Fine, Rosignano Solvay;ToscanaDomain;-;-;TOSCANA;-9998;10.4442;43.3719;165;3.7;-9999;-9999;-9999;-9999;-9999;44;73;95;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rossenna;Rossenna;Rossenna;Rossenna, Rossenna;PoBasin;-;-;-;-9999;10.67;44.43;187;3.9;-9999;120;160;230;-9999;82;118;181;CF;Scala di deflusso;3;no;-0.07;-0.9;ARPA Emilia Romagna, 2018
-9999;Rossiglione;-;Stura;Stura, Rossiglione;LiguriaDomain;-;-;LIGURIA;-9999;8.6666;44.56597;88;2.8;-9999;-9999;-9999;-9999;2;229;403;546;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rottofreno;Rottofreno;Tidone;Tidone,Rottofreno;PoBasin;-;-;-;-9999;9.53;45.06;349;5.3;-9999;100;170;230;-9999;88;165;231;CF;Scala di deflusso;2;no;-9999;-9999;ARPA Emilia Romagna,2018
-9999;Rovegno;Rovegno - Ponte;Trebbia;Trebbia, Rovegno;LiguriaDomain;-;-;-;-9999;9.28;44.57;114;3.1;-9999;350;400;550;-9999;277;337;543;CF;Scala di deflusso;3;no;0;0.68;Arpal, 2020
-9999;Rubiera SS9;Rubiera SS9;Secchia;Secchia,Rubiera SS9;PoBasin;-;-;-;-9999;10.8;44.65;1303;10.0;-9999;130;180;210;-9999;146;394;529;CF;Scala di deflusso;3;no;-9999;-9999;ARPA Emilia Romagna,2018
-9999;Rugge di Pontedassio;-;Impero;Impero, Rugge di Pontedassio;LiguriaDomain;-;-;LIGURIA;-9999;8.00611;43.94167;73;2.6;-9999;160;270;-9999;1;118;207;281;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Ruscio;Ruscio;Nera;Nera, Ruscio;TevereBasin;-;-;Lazio;-9999;12.96696;42.63189;205;4.1;-9999;100;120;180;-9999;6;7;13;CF;Scala di deflusso;2;no;-0.145;<-1;2016
-9999;S Piero a Sieve;S. Piero a Sieve;Sieve;Sieve, S Piero a Sieve;ToscanaDomain;-;-;-;-9999;11.328;43.965;163;3.7;-9999;230;280;350;-9999;104;148;250;CF;Scala di deflusso;3;no;0.31;<-1;Regione Toscana, 2025
-9999;S Piero a Sieve;-;Carza;Carza, S Piero a Sieve;ToscanaDomain;-;-;-;-9999;11.322;43.959;54;2.2;-9999;-9999;-9999;-9999;-9999;21;35;45;Statistica;Scala di deflusso;2;no;-0.39;0.71;Regione Toscana, 2025
-9999;S. Piero a Ponti;S. Piero a Ponti;Arno;Arno, S. Piero a Ponti;ToscanaDomain;-;-;-;-9999;11.131;43.804;268;4.7;-9999;300;350;500;-9999;59;84;164;CF;Scala di deflusso;4;no;-0.25;0.61;Regione Toscana, 2025
51;S.Ambrogio;S.Ambrogio;Liri;Liri, S.Ambrogio;LiriDomain;SANT'AMBROGIO SUL GARIGLIANO;FR;LAZIO;19;13.87192;41.39908;4424;18.2;63;650;820;1000;52;1379;1763;1973;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S.Benigno;San Benigno Orco;Orco;Orco,S.Benigno;PoBasin;-;-;-;-9999;7.81;45.25;846;8.1;-9999;210;260;360;-9999;246;401;711;CF;Scala di deflusso;3;no;-9999;-9999;Arpa Piemonte,2019
-9999;S.Biagio;-;Pollina;Pollina, S.Biagio;SiciliaDomain;POLLINA;PA;SICILIA;106;14.1754;38.0175;367.7184;5.4;-9999;-9999;-9999;-9999;107;283;443;555;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S.Carlo;S.Carlo;Savio;Savio, S.Carlo;RomagnaDomain;-;-;-;-9999;12.2;44.09;586;6.8;-9999;250;400;550;-9999;97;256;423;CF;Scala di deflusso;3;si;0.99;-0.39;ARPA Emilia Romagna, 2018
50;S.Castrese;S.Castrese;Liri;Liri, S.Castrese;LiriDomain;CASTELFORTE;LT;LAZIO;19;13.83734;41.28172;3779;16.8;63;600;700;900;52;1414;1808;2023;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S.Giuliano;S.Giuliano;Bradano;Bradano, S.Giuliano;BasilicataDomain;Matera;Mt;Basilicata;-9999;16.4329;40.63937;1490;10.7;-9999;330;380;420;-9999;209;268;321;CF;Scala di deflusso;1;no;-0.487;-0.74;Arpa Campania/Letteratura, 1993
-9999;S.Lucia;S.Lucia Rbasil;Bradano;Bradano, S.Lucia;BasilicataDomain;Matera;MT;Basilicata;-9999;16.5777;40.589;2560;13.9;-9999;-9999;-9999;-9999;-9999;293;495;639;Statistica;Scala di deflusso;1;no;-0.315;<-1;N.D.
5;S.Martino;Salto a San Martino;Salto;Salto, S.Martino;TevereBasin;Concerviano;RI;Lazio;37;12.9886;42.3246;660;7.2;64;-9999;-9999;-9999;50;31;57;82;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S.Marzano;S.Marzano Sarno;Sarno;Sarno, S.Marzano;VolturnoDomain;-;-;-;-9999;14.58;40.78;239.53;4.4;-9999;-9999;-9999;-9999;-9999;110.02;162.47;199.75;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S.Mauro;S.Mauro;Sarno;Sarno, S.Mauro;VolturnoDomain;-;-;-;-9999;14.63;40.76;222.57;4.3;-9999;-9999;-9999;-9999;-9999;102.93;152.01;186.89;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S.Pietro;S.Pietro;Sarno;Sarno, S.Pietro;VolturnoDomain;-;-;-;-9999;14.78;40.82;36.02;1.9;-9999;-9999;-9999;-9999;-9999;19.50;30.72;38.90;Statistica;-9999;-9999;no;-9999;-9999;N.D.
183;S.Secondo;S.Secondo;Taro;Taro, S.Secondo;PoBasin;TRECASALI;PR;EMILIA ROMAGNA;25;10.25431;44.91679;1450;10.5;68;1000;1100;1400;44;990;1122;1521;CF;Scala di deflusso;3;no;-0.697;0.44;ARPA Emilia Romagna, 2015 2016 2017
-9999;S.SofiaEpiro;S.Sofia d'Epiro;Crati;Crati,S.SofiaEpiro;CalabriaDomain;-;-;CALABRIA;-9999;16.26;39.59;1270;9.9;-9999;-9999;-9999;-9999;-9999;507;605;655;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;S115;Modione a Santa Teresa;Modione;Modione, S115;SiciliaDomain;CASTELVETRANO;TP;SICILIA;100;12.8198;37.6541;51;2.2;-9999;-9999;-9999;-9999;110;34;55;71;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;SaFabbrica;-;RiuMannu;RiuMannu, SaFabbrica;SardegnaDomain;-;-;SARDEGNA;-9999;8.5;40.2;51.33;2.2;-9999;-9999;-9999;-9999;-9999;13;21;27;Statistica;-9999;-9999;no;-9999;-9999;N.D.
