ID;SEC_CODE;SEC_NAME;BASIN;SEC_TAG;DOMAIN;ADMIN_B_L3;ADMIN_B_L2;ADMIN_B_L1;TYPE;LON;LAT;AREA;Q_THR1;Q_THR2;Q_THR3;SEC_RS;HMC_X;HMC_Y
56;-9999;Diga;Borgiano;Borgiano:Diga;Marche;-;-;-;Dam;13,202458999999900;43,146726000000000;395,600000000000000;40,000000000000000;80,000000000000000;-9999,000000000000000;-9999;326;387
57;-9999;Diga;LeGrazie;LeGrazie:Diga;Marche;-;-;-;Dam;13,268526000000000;43,188766999999900;588,000000000000000;60,000000000000000;100,000000000000000;-9999,000000000000000;-9999;312;409
58;-9999;Diga;Comunanza;Comunanza:Diga;Marche;-;-;-;Dam;13,376633999999900;42,891469999999900;59,600000000000000;40,000000000000000;80,000000000000000;-9999,000000000000000;-9999;411;445
59;-9999;Diga;SanRuffino;SanRuffino:Diga;Marche;-;-;-;Dam;13,388646000000000;43,011589999999900;137,099999999999000;35,000000000000000;70,000000000000000;-9999,000000000000000;-9999;371;449
60;-9999;Diga;Talvacchia;Talvacchia:Diga;Marche;-;-;-;Dam;13,509300000000000;42,780360000000000;123,099999999999000;40,000000000000000;80,000000000000000;-9999,000000000000000;-9999;448;488
61;-9999;Diga;Scandarello;Scandarello:Diga;Marche;-;-;-;Dam;13,265523000000000;42,638300000000000;42,799999999999900;18,000000000000000;30,000000000000000;-9999,000000000000000;-9999;494;408
62;-9999;Genica;Genica;Genica:Genica;Marche;Pesaro;PU;Marche;River;12,911716999999900;43,898080999999900;18,500000000000000;3,000000000000000;7,000000000000000;-9999,000000000000000;-9999;75;291
63;-9999;Trisungo;Tronto;Tronto:Trisungo;Marche;Arquata del Tronto;AP;Marche;River;13,311667000000000;42,774200000000000;330,000000000000000;34,000000000000000;100,000000000000000;-9999,000000000000000;-9999;450;423
64;-9999;Grisciano;Tronto;Tronto:Grisciano;Marche;Accumoli;RI;Lazio;River;13,268599999999900;42,729999999999900;270,000000000000000;32,000000000000000;75,000000000000000;-9999,000000000000000;-9999;463;408
65;-9999;Accumoli;Tronto;Tronto:Accumoli;Marche;Accumoli;RI;Lazio;River;13,252400000000000;42,700000000000000;228,000000000000000;30,000000000000000;72,000000000000000;-9999,000000000000000;-9999;475;403
66;-9999;Amatrice;Castellano;Castellano:Amatrice;Marche;Amatrice;RI;Lazio;River;13,284599999999900;42,630000000000000;31,000000000000000;6,000000000000000;15,000000000000000;-9999,000000000000000;-9999;498;414
67;-9999;Amatrice;Tronto;Tronto:Amatrice;Marche;Amatrice;RI;Lazio;River;13,291200000000000;42,632599999999900;57,000000000000000;8,000000000000000;25,000000000000000;-9999,000000000000000;-9999;497;417
68;-9999;PoggioVitellino;Tronto;Tronto:PoggioVitellino;Marche;Amatrice;RI;Lazio;River;13,267899999999900;42,659999999999900;142,000000000000000;28,000000000000000;65,000000000000000;-9999,000000000000000;-9999;488;409
69;-9999;Confluenza;Scandarello;Scandarello:Confluenza;Marche;-;-;-;River;13,272800000000000;42,649099999999900;44,000000000000000;19,000000000000000;31,000000000000000;-9999,000000000000000;-9999;492;410
70;-9999;Cornillo;Tronto;Tronto:Cornillo;Marche;-;-;-;River;13,280300000000000;42,639200000000000;89,000000000000000;9,000000000000000;34,000000000000000;-9999,000000000000000;-9999;495;413
71;-9999;Libertino;Tronto;Tronto:Libertino;Marche;-;-;-;River;13,257000000000000;42,693899999999900;205,000000000000000;30,000000000000000;70,000000000000000;-9999,000000000000000;-9999;476;405
72;-9999;Confluenza;Rio;Rio:Confluenza;Marche;-;-;-;River;13,260700000000000;42,734099999999900;18,000000000000000;17,300000000000000;26,000000000000000;-9999,000000000000000;-9999;462;405
73;189;PescaraDelTronto;Tronto;Tronto:PescaraDelTronto;Marche;-;-;-;River;13,268000000000000;42,742300000000000;290,000000000000000;33,000000000000000;95,000000000000000;-9999,000000000000000;3096;460;408
74;-9999;Confluenza;Camartina;Camartina:Confluenza;Marche;Arquata del Tronto;AP;Marche;River;13,300400000000000;42,773000000000000;22,000000000000000;27,000000000000000;39,000000000000000;-9999,000000000000000;-9999;450;418
75;188;PoggioCasoli;Tronto;Tronto:PoggioCasoli;Marche;-;-;-;River;13,265516999999900;42,686641999999900;197,000000000000000;30,000000000000000;70,000000000000000;-9999,000000000000000;3095;479;408
76;-9999;AcquasantaTerme;Tronto;Tronto:AcquasantaTerme;Marche;-;-;-;River;13,409369999999900;42,771220000000000;403,000000000000000;40,000000000000000;125,000000000000000;-9999,000000000000000;-9999;451;455
77;-9999;Castelsantangelo;Nera;Nera:Castelsantangelo;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;43,799999999999900;5,400000000000000;10,300000000000000;-9999,000000000000000;2700;410;370
78;-9999;PonteTavola;Nera;Nera:PonteTavola;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;48,500000000000000;3,500000000000000;6,500000000000000;-9999,000000000000000;2699;406;365
79;-9999;PonteGaribaldi;Misa;Misa:PonteGaribaldi;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;379,000000000000000;50,000000000000000;110,000000000000000;-9999,000000000000000;3147;137;390
80;-9999;PortaCartara;Castellano;Castellano:PortaCartara;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;163,599999999999000;40,000000000000000;80,000000000000000;-9999,000000000000000;3247;425;509
81;-9999;SMariaGoretti;Tesino;Tesino:SmariaGoretti;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;76,400000000000000;20,000000000000000;50,000000000000000;-9999,000000000000000;1088;385;556
82;-9999;SMicheleAlFiume;Cesano;Cesano:SmicheleAlFiume;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;282,399999999999000;65,000000000000000;90,000000000000000;-9999,000000000000000;1080;153;324
83;-9999;Valmir;Aso;Aso:Valmir;Marche;-;-;-;River;-9999,000000000000000;-9999,000000000000000;222,400000000000000;110,000000000000000;140,000000000000000;-9999,000000000000000;3063;360;545
84;186;PassoRipe;Misa;Misa:PassoRipe;Marche;Trecastelli;AN;Marche;River;13,123652999999900;43,653410999999900;142,199999999999000;35,399999999999900;49,000000000000000;-9999,000000000000000;3145;386;466
85;187;PonteBarchetta;Esino;Esino:PonteBarchetta;Marche;Jesi;AN;Marche;River;13,305607999999900;43,550803000000000;975,200000000000000;83,000000000000000;142,000000000000000;-9999,000000000000000;3146;443;465
86;-9999;Diga;VillaPera;VillaPera:Diga;Marche;-;-;Chienti;Dam;13,440189999999900;42,964530000000000;94,200000000000000;20,000000000000000;45,000000000000000;-9999,000000000000000;-9999;412;370
87;-9999;Diga;Colombara;Colombara:Diga;Marche;-;-;Marche;Dam;13,436980000000000;42,795160000000000;448,199999999999000;40,000000000000000;135,000000000000000;-9999,000000000000000;-9999;396;355
88;190;Nocelleto;Rapegna;Rapegna:Nocelleto;Marche;Castelsantangelo sul Nera;MC;Marche;River;13,151916000000000;42,886567999999900;16,500000000000000;1,000000000000000;2,000000000000000;-9999,000000000000000;3149;413;438
89;192;MadonnaUccelletto;Ussita;Ussita:MadonnaUccelletto;Marche;Visso;MC;Marche;River;13,107631000000000;42,934736000000000;44,100000000000000;4,300000000000000;8,300000000000000;-9999,000000000000000;3154;349;346
90;948;SGiorgioIsola;Aso;Aso:SgiorgioIsola;Marche;Montemonaco;AP;Marche;River;13,357002000000000;42,885005999999900;55,100000000000000;9,600000000000000;22,300000000000000;-9999,000000000000000;3246;372;445
91;933;PonteLaTrave;Chienti;Chienti:PonteLaTrave;Marche;Camerino;MC;Marche;River;13,080700000000000;43,078741999999900;231,800000000000000;8,000000000000000;18,500000000000000;-9999,000000000000000;3244;157;360
92;907;Friano;Tenna;Tenna:Friano;Marche;Amandola;FM;Marche;River;13,379049999999900;43,007069000000000;133,300000000000000;30,000000000000000;60,000000000000000;-9999,000000000000000;3245;191;421
93;350;Pontedazzo;Burano;Burano:Pontedazzo;Marche;Cantiano;PU;Marche;River;12,620647000000000;43,488925999999900;114,370000000000000;15,600000000000000;33,289999999999900;-9999,000000000000000;3249;212;193
94;353;CagliPonteCavour;Burano;Burano:CagliPonteCavour;Marche;Cagli;PU;Marche;River;12,648742000000000;43,542636899999900;129,860000000000000;22,899999999999900;40,700000000000000;-9999,000000000000000;3255;194;203
95;352;CagliCivita;Bosso;Bosso:CagliCivita;Marche;Cagli;PU;Marche;River;12,644007999999900;43,546799000000000;124,530000000000000;25,000000000000000;41,200000000000000;-9999,000000000000000;3254;192;201
96;355;Mercatale;Foglia;Foglia:Mercatale;Marche;Sassocorvaro;PU;Marche;River;12,463892000000000;43,767155000000000;174,210000000000000;44,399999999999900;81,200000000000000;-9999,000000000000000;3256;119;141
97;356;SAngeloinVado2;Metauro;Metauro:SangeloinVado2;Marche;SAngeloinVado;PU;Marche;River;12,411538999999900;43,665680000000000;138,490000000000000;50,000000000000000;141,000000000000000;-9999,000000000000000;3257;153;123
